country,_dw_tot_curr,_bbb_complete1_dw_tot_curr,_bbb_incl1_dw_tot_curr,_bbb_fast1_dw_tot_curr,_bbb_fast2_dw_tot_curr,_bbb_fast4_dw_tot_curr,_bbb_fast5_dw_tot_curr,_bbb_50yrstand1_dw_tot_curr
Comoros,4067428.222181915,3154447.583932968,3510895.191758929,3724957.131820469,3898687.0516686942,4231397.111844098,4390797.584151112,4033098.1595523795
"Congo, Dem. Rep.",721553625.4658837,503098106.13449997,614862890.66605,645330026.8858459,683954411.5552471,758170135.442919,793843985.4161673,663875620.3614156
"Congo, Rep.",285279029.52647656,168722514.71964732,239158218.85072148,241206182.5923442,263595552.6726475,306289870.9335807,326659253.3822898,244758811.8523035
Costa Rica,515509570.71962875,352906085.523486,494223755.6943677,409237436.8213373,463238482.0865305,566133769.3201146,615188834.689586,468393976.50942653
Cote d'Ivoire,294106241.9284368,187285927.15115187,259653817.55833858,227834067.4680769,261367887.79083675,326079491.7266941,357316350.7405563,281885150.25395197
Croatia,720483865.7175465,601613539.4968365,691988576.0709283,650869533.9373595,686264238.7850189,753586892.0993216,785627922.9631345,695610625.30244
Cyprus,111109230.33828871,69268402.5946841,81710896.14397702,102270532.64979343,106769147.67070363,115299052.29157053,119346317.48511419,104610808.47921397
Czech Republic,681541790.7212216,579585068.8239027,653851549.4580497,612686619.7692662,647733372.5380236,714176681.1579435,745698387.5174654,673564597.9696591
Denmark,15417433.274350587,13505497.436007904,14993243.373757757,13939440.221596371,14692223.29161441,16116560.011192057,16790987.63835154,15398291.790541273
Dominica,47132714.64316906,13884759.611470895,44532096.57359873,29352121.74400891,38386801.43829976,55603737.47483378,63812857.987597935,24381952.716229625
Dominican Republic,2443353016.5905623,1663182474.4233017,2287546284.5186133,2033179848.3023856,2241724095.3110538,2638407076.019829,2827204614.1387777,2159953602.5197997
Ecuador,4529543363.106815,3103590892.2996798,4028463908.841008,3998805643.766546,4267945239.3604,4783928108.892559,5031407965.368901,3998851385.4123197
