country,hazard,rp,fa
Bangladesh,surge,5.0,0.00023876174589221996
Bangladesh,surge,10.0,0.000921558589237621
Bangladesh,surge,20.0,0.0013233518120485852
Bangladesh,tsunami,250.0,0.0
Bangladesh,tsunami,500.0,8.964157431417894e-05
Bangladesh,tsunami,1000.0,0.0018630362370174102
Bangladesh,tsunami,1500.0,0.00463610340684961
Bangladesh,tsunami,2000.0,0.008467983327720807
Bangladesh,tsunami,4000.0,0.045778770339123004
Bangladesh,tsunami,5000.0,0.08004533990679058
Bangladesh,tsunami,30000.0,0.40505964699536867
Bangladesh,wind,1.0,0.0
Bangladesh,wind,1.5,0.0
Bangladesh,wind,2.0,0.0
Bangladesh,wind,3.0,2.7466907761332077e-06
Bangladesh,wind,5.0,0.000282853538112223
Bangladesh,wind,10.0,0.0022818967154094633
Bangladesh,wind,20.0,0.05255959550671461
Belarus,flood,1.5,0.0
Belarus,flood,2.0,3.6874337608431994e-06
Belarus,flood,3.0,0.0005910268222918272
Belarus,flood,5.0,0.005805924026334275
Belarus,flood,10.0,0.02230427799541776
Belarus,flood,20.0,0.04356444281810791
Belarus,flood,50.0,0.07799186689212675
Belarus,flood,100.0,0.1032102653576138
Belarus,flood,250.0,0.1563554491730223
Belarus,flood,500.0,0.17903531894685654
Belarus,flood,1000.0,0.1879108260289629
Belarus,flood,1500.0,0.19270469446087524
Belarus,flood,2000.0,0.19503777794708999
Belarus,flood,4000.0,0.19999143739343334
Belarus,flood,5000.0,0.20114255973313183
Belarus,flood,30000.0,0.2056199914721719
Belgium,earthquake,1.5,4.048006167259567e-07
Belgium,earthquake,2.0,3.335594216853911e-06
Belgium,earthquake,3.0,3.6313424881828894e-05
Belgium,earthquake,5.0,8.996105206121702e-05
Belgium,earthquake,10.0,0.00031679167619642185
Belgium,earthquake,20.0,0.0009356394304466801
Belgium,earthquake,50.0,0.0035579918063355386
Belgium,earthquake,100.0,0.008201268124463744
Belgium,earthquake,250.0,0.021995586638221966
Belgium,earthquake,500.0,0.040832146907820305
Belgium,earthquake,1000.0,0.07018112338188957
Belgium,earthquake,1500.0,0.09050485426733627
Belgium,earthquake,2000.0,0.10018665653105789
Belgium,earthquake,4000.0,0.1460994876449151
Belgium,earthquake,5000.0,0.16200696733221784
Belgium,earthquake,30000.0,0.3142017630510398
Belgium,flood,1.5,0.0
Belgium,flood,2.0,7.671230704416614e-09
Belgium,flood,3.0,1.2828475352238972e-08
Belgium,flood,5.0,1.5546589582249454e-08
Belgium,flood,10.0,1.5367828041436105e-05
Belgium,flood,20.0,0.00014127305919076855
Belgium,flood,50.0,0.0013578130423262326
Belgium,flood,100.0,0.005962868361342002
Belgium,flood,250.0,0.015051009835017918
Belgium,flood,500.0,0.03305094749161248
Belgium,flood,1000.0,0.05134793278026157
Belgium,flood,1500.0,0.05843418438899821
Belgium,flood,2000.0,0.06187607611044599
Belgium,flood,4000.0,0.06915112521572339
Belgium,flood,5000.0,0.0702724641939871
Benin,earthquake,50.0,2.7013083446904782e-05
Benin,earthquake,100.0,0.0005012859259082033
Benin,earthquake,250.0,0.0011608660281402178
Benin,earthquake,500.0,0.001864300763062051
Benin,earthquake,1000.0,0.0033678197235467253
Benin,earthquake,1500.0,0.004922028148786309
Benin,earthquake,2000.0,0.0073848054183092374
Benin,earthquake,4000.0,0.012445777232905818
Benin,earthquake,5000.0,0.014928773792405103
Benin,earthquake,30000.0,0.03265283836050122
Benin,flood,3.0,1.5103807048608473e-08
Benin,flood,5.0,2.0309278489439593e-05
Benin,flood,10.0,0.0018901574883530994
Benin,flood,20.0,0.014114128298666966
Benin,flood,50.0,0.033537579904292014
Benin,flood,100.0,0.04150969700723529
Benin,flood,250.0,0.11068332979169458
Benin,flood,500.0,0.11874392024313477
Benin,flood,1000.0,0.13530705748034844
Benin,flood,1500.0,0.15962236877809116
Benin,flood,2000.0,0.17732916202976104
