country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Nicaragua,5136.84157371,6149928.0,0.59107,2151.38204656,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.29951711867347164,1.0,0.13338440020534997
Niger,906.992520617,20672987.0,0.1901,363.22697389,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.23359231685535525,1.0,0.0617439981189204
Nigeria,5438.92271095,185989640.0,0.48596999999999996,2177.98516982,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.8736444729486806,1.0,0.0110583224611093
Norway,63810.78642619999,5232929.0,0.80734,70812.4774226,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.3359516873480029,1.0,0.314924937902
Pakistan,4866.16345609,193203476.0,0.39224000000000003,1468.19294648,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.3767173581299691,1.0,0.1307417917619628
Panama,21334.939678400002,4034119.0,0.66895,13680.2360069,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.5402427160644628,1.0,0.11710589323027502
Papua New Guinea,2620.88240256,8084991.0,0.13039,2182.71656543,3.0,0.2,1.5,0.06,0.8,0.05,0.4,2,0.32518120719724364,1.0,0.0015386206319416703
Paraguay,8877.60664526,6725308.0,0.59924,4080.20464394,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.3682732130696673,1.0,0.15092870043746395
Peru,12071.5923766,31773839.0,0.7892399999999999,6045.65007662,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.27019867536419195,1.0,0.20005918170774198
Philippines,7236.46707132,103320222.0,0.44288999999999995,2951.07192904,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.27365718828027585,1.0,0.22550633559110603
Poland,26003.0133946,37948016.0,0.60531,12372.4170564,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.41320263199936846,1.0,0.49673548000000006
Portugal,27006.874281299995,10324611.0,0.64017,19813.3082485,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.19024226740462855,1.0,0.46206136840000006
Romania,21647.8089324,19705301.0,0.5474899999999999,9474.13060441,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.2677480378213938,1.0,0.42336445300000003
Russian Federation,24026.0049164,144342396.0,0.7410100000000001,8748.36450405,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.3491630039272151,1.0,0.214862919541956
Rwanda,1773.75048395,11917508.0,0.29775,702.835601586,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.712577817249879,1.0,0.07666355225473678
Senegal,2380.38691749,15411614.0,0.44065,958.073737853,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.22621011201636318,1.0,0.21137062367951398
Serbia,13720.0872294,7057412.0,0.5566800000000001,5348.29406421,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.2201204533701086,1.0,0.37081752737912804
Seychelles,26319.158625099997,94677.0,0.54214,15075.7194366,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.21854769867246696,1.0,0.14713705314697834
Sierra Leone,1365.86594307,7396190.0,0.40318000000000004,496.049463351,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.4068659912801502,1.0,0.029931397493131503
Slovak Republic,29156.0939118,5428704.0,0.53468,16495.9876837,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.30590188604179597,1.0,0.392903020488
Slovenia,29803.4496172,2064845.0,0.49627,21304.570162,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.2213378830398852,1.0,0.3630338905
Solomon Islands,2072.71057765,599419.0,0.22779000000000002,2005.48364333,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,2,0.2968860005415652,1.0,0.066460774751349
South Africa,12260.165354100001,55908865.0,0.65295,5273.59387968,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.41221819094326817,1.0,0.16871750901550003
Spain,33261.0793376,46443959.0,0.79802,26528.4917901,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.18299929671374224,1.0,0.4339420833939999
Sri Lanka,11417.256457899999,21203000.0,0.18407,3835.39481711,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.33796080258900235,1.0,0.0881863186694422
St. Lucia,10703.0957483,178015.0,0.1854,7744.44517264,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,2,0.8917745033119631,1.0,0.1237010136862619
