country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Sri Lanka,11639.30965,11417.256459999999,21203000,0.07,0.18407,3835.3948170000003,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.33796080258900235,1.0,0.08820462608999997
St. Lucia,12010.50151,10703.09575,178015,0.0523,0.1854,7744.445173,1,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.3333333333333333,0.8917745033119631,1.0,0.12370101368626191
St. Vincent and the Grenadines,10623.38552,10758.56312,109643,0.203,0.5089899999999999,7030.057145000001,1,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.6344556359052773,1.0,0.16448424303576856
Sudan,4386.352577000001,4385.046923,39578828,0.068,0.34007,2415.0381620000003,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.9487533644538989,1.0,0.05974477171515534
Swaziland,7723.6410590000005,7733.808563,1343098,0.04,0.21315,2775.153908,1,0.2,1.5,0.06,0.8,0.05,0.6,0.5666666666666667,0.19038060692098577,1.0,0.1095257682360058
Sweden,46568.17715,46441.20592,9903122,0.08199999999999999,0.85964,51599.86887,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.357367643802592,1.0,0.35678861012999996
Switzerland,57427.89254,56625.135010000005,8372098,0.078,0.7399,78812.65069,1,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,1.0,0.28308540003621385,1.0,0.31866516508599996
Tajikistan,2762.585453,2762.585453,8734951,0.07400000000000001,0.26891,795.8438643999999,1,0.2,1.5,0.06,0.8,0.05,0.6,0.4583333333333333,0.3854263244630784,1.0,0.23312181055614636
Tanzania,2583.589673,2583.279039,55572201,0.07400000000000001,0.32316,879.1938140000001,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.41320436712274966,1.0,0.07650132945400001
Thailand,15683.03242,15681.81409,68863514,0.069,0.5154,5907.913432,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7416666666666667,0.24033636299972685,1.0,0.27187137021400004
Timor-Leste,1984.660767,2151.107055,1268671,0.094,0.33401,1161.760935,1,0.2,1.5,0.06,0.8,0.05,0.4,0.4166666666666667,0.12895241137016927,1.0,0.060930033192
Togo,1382.109747,1382.109747,7606374,0.05,0.40463000000000005,578.4616936000001,1,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.3708920312086315,1.0,0.09408221945220509
Tonga,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3578357636224098,1.0,0.11702355624494477
Trinidad and Tobago,30464.759169999998,29578.95639,1364962,0.049,0.08352000000000001,15377.09881,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6666666666666667,1.0787654875020773,1.0,0.14658594109072995
