country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Guinea-Bissau,nonpoor,0.8,1750.3570603809999,0.0002,1.2060049540475468,4131.901952475242,0.004180046390389492,0.2000000000000001
Guinea-Bissau,poor,0.2,329.910231276,0.0002,0.1759801838098123,796.4308103880887,0.004473716371734618,0.2000000000000001
Haiti,nonpoor,0.8,1951.6749807697997,0.12755239999999998,1.1989180966637107,14630.514121091337,0.21992690897073552,0.6000000000000002
Haiti,poor,0.2,463.1093174707999,0.04369855,0.20432761334515662,3485.8773147368097,0.23450854488426875,0.6000000000000002
Honduras,nonpoor,0.8,5292.680465845799,0.1964441,1.1667351976069367,14631.498268692778,0.05076936355230987,0.4000000000000002
Honduras,poor,0.2,790.6078704168,0.06635398,0.33305920957225255,1874.9173117080197,0.052314699742222824,0.4000000000000002
Hungary,nonpoor,0.8,29315.387541940498,0.2304348,1.093860113969482,141237.2921035409,0.03151808663207275,1.0
Hungary,poor,0.2,9644.889407737997,0.1423596,0.6245595441220726,8588.93881864756,0.03889313585445867,1.0
India,nonpoor,0.8,6983.697880704825,0.18833629999999998,1.074368802678621,15563.266396233614,0.004774444032211306,0.8000000000000004
India,poor,0.2,2528.4489600807,0.07480032,0.7025247892855162,5064.525352593292,0.005102443523595285,0.8000000000000004
Indonesia,nonpoor,0.8,12486.875676867998,0.3511817,1.083556539032189,40663.314636461066,0.02041678224689831,0.8000000000000004
Indonesia,poor,0.2,3875.2372790279996,0.1379658,0.6657738438712436,10981.46748917583,0.020084744577681266,0.8000000000000004
"Iran, Islamic Rep.",nonpoor,0.8,18751.843026208247,0.2603003,1.093745230260455,59594.71140597224,0.013984715800546556,0.4000000000000002
"Iran, Islamic Rep.",poor,0.2,5043.185104167,0.1516682,0.6250190789581802,13356.283957567026,0.014391569163423667,0.4000000000000002
Iraq,nonpoor,0.8,18339.086586917998,0.03651581,1.1249677718439113,31450.832110256455,0.016127135024084662,0.6000000000000002
Iraq,poor,0.2,7078.2439458280005,0.033137599999999996,0.5001289126243541,11905.329391353038,0.019310382573519726,0.6000000000000002
Ireland,nonpoor,0.8,72331.125464397,0.5566727,1.0968175885876217,243702.80959608618,0.008710649143694535,0.0
Ireland,poor,0.2,24817.193970411998,0.40051929999999997,0.6127296456495124,34477.56949157929,0.009616310832162986,0.0
Israel,nonpoor,0.8,38849.865266636494,0.6097891,1.0932522782033902,110310.74016989235,0.006028021494058481,0.0
Israel,poor,0.2,7663.981815454,0.4204639,0.6269908871864387,13633.809714002522,0.0060344844479071616,0.0
Italy,nonpoor,0.8,40592.1016785865,0.44066890000000003,1.1692501198879175,198775.78700829795,0.013669581616366142,1.0
Italy,poor,0.2,10732.240102654001,0.20171340000000001,0.32299952044832925,50891.57994692126,0.013911564889837434,1.0
Jamaica,nonpoor,0.8,9694.913571388448,0.3520919,1.1351534963998082,25635.137222089605,0.108649580106313,0.8000000000000004
Jamaica,poor,0.2,2170.3502398461997,0.21472039999999998,0.45938601440076743,4937.207095387211,0.11004100847209294,0.8000000000000004
Japan,nonpoor,0.8,44262.53526493399,0.6250876999999999,0.997253809279633,218121.89990807485,0.028275220159680696,0.8000000000000004
Japan,poor,0.2,14148.715376264001,0.5732915,1.0109847628814677,36068.542539487025,0.02928988943749268,0.8000000000000004
Jordan,nonpoor,0.8,9627.000978209175,0.05062747,1.1269726833372733,55039.81763625429,0.006521857701481985,0.6000000000000002
Jordan,poor,0.2,3439.7127678132993,0.01797048,0.4921092666509068,18556.110996931973,0.006549974182645562,0.6000000000000002
Kazakhstan,nonpoor,0.8,26347.393774575,0.1153157,1.0824581467221686,79857.95071381427,0.025108261000986613,0.8000000000000004
Kazakhstan,poor,0.2,11709.9527887,0.02605716,0.6701674131113253,34802.581130024824,0.027314808722248948,0.8000000000000004
